Name,Cloudiness (%),Country,Date,Humidity (%),Lat,Long,Max Temp (Fahrenheit),Wind Speed (mph)
Key Largo,40,US,1584558390,57,25.09,-80.45,82.99,11.41
Soteapan,40,MX,1584558420,70,18.23,-94.87,84.2,5.82
Novikovo,20,RU,1584558420,57,51.15,37.89,38.16,6.02
Strenči,100,LV,1584558420,88,57.63,25.69,44.01,7.0
Ucluelet,75,CA,1584558347,87,48.93,-125.55,48.99,9.17
Port Hardy,75,CA,1584558420,86,50.7,-127.42,41.0,4.7
Novoagansk,90,RU,1584558421,90,61.94,76.66,18.84,14.23
Mahébourg,75,MU,1584558421,83,-20.41,57.7,78.8,3.36
Am Timan,93,TD,1584558125,13,11.03,20.28,88.56,6.31
Mutsu,20,JP,1584558421,75,41.29,141.22,39.2,2.24
Marawi,4,PH,1584558421,90,8.0,124.29,73.0,5.01
Praia da Vitória,90,PT,1584558421,100,38.73,-27.07,55.4,24.58
Nanganga,73,TZ,1584558422,97,-10.38,39.15,72.18,3.65
Piaçabuçu,55,BR,1584558422,77,-10.41,-36.43,82.92,10.85
Sinnamary,57,GF,1584558422,77,5.38,-52.95,81.0,17.43
Kiruna,0,SE,1584558422,73,67.86,20.23,24.8,8.05
Kimbe,100,PG,1584558422,93,-5.55,150.14,74.46,2.04
Wanning,31,CN,1584558422,90,18.8,110.4,71.82,4.29
Aykhal,100,RU,1584558422,64,66.0,111.5,1.4,11.18
Lata,0,PT,1584558423,55,40.16,-8.33,66.99,6.93
Camacha,75,PT,1584558423,72,33.08,-16.33,62.6,25.28
La Ronge,40,CA,1584558289,49,55.1,-105.28,1.4,2.24
Linxi,19,CN,1584558423,38,39.7,118.43,45.0,14.47
Vila do Maio,40,CV,1584558423,57,15.13,-23.22,75.2,20.8
Puertollano,0,ES,1584558423,71,38.69,-4.11,55.99,10.29
Shumskiy,29,RU,1584558424,85,54.83,99.13,26.82,7.29
Bereket,91,TM,1584558424,57,39.24,55.52,58.98,10.04
Port Lincoln,77,AU,1584558424,24,-34.73,135.87,82.38,18.25
Caucasia,63,CO,1584558197,37,7.99,-75.19,96.24,4.16
Taoudenni,100,ML,1584558425,10,22.68,-3.98,87.6,6.96
Escobal,20,PA,1584558425,55,9.15,-79.96,93.2,8.05
Calvinia,0,ZA,1584558425,19,-31.47,19.78,69.06,8.16
Stykkisholmur,100,IS,1584558425,83,65.08,-22.73,24.6,16.91
Kiryat Gat,40,IL,1584558360,62,31.61,34.76,59.0,5.82
Salalah,40,OM,1584558426,73,17.02,54.09,77.0,6.93
Shellbrook,75,CA,1584558426,54,53.22,-106.4,5.0,1.74
Saint-Pierre,40,RE,1584558426,78,-21.34,55.48,78.8,5.82
Yerofey Pavlovich,18,RU,1584558426,87,53.97,121.97,15.06,3.6
Saldanha,0,ZA,1584558426,72,-33.01,17.94,66.2,12.75
Maracaibo,0,VE,1584558235,53,10.63,-71.64,85.5,6.38
Bambous Virieux,75,MU,1584558426,83,-20.34,57.76,78.8,3.36
Northam,75,GB,1584558181,93,51.03,-4.22,52.0,11.41
Zhigansk,63,RU,1584558427,93,66.77,123.37,-22.68,12.48
Mitchell,90,US,1584558427,70,43.71,-98.03,46.4,6.93
Nosy Varika,100,MG,1584558427,93,-20.58,48.53,74.46,4.41
Sungai Penuh,100,ID,1584558427,98,-2.08,101.38,64.92,1.66
Beringovskiy,100,RU,1584558427,97,63.05,179.32,33.42,26.89
San Carlos,4,VE,1584558427,20,9.66,-68.58,103.8,4.43
Viedma,45,AR,1584558428,42,-40.81,-63.0,75.72,6.11
Yumen,74,CN,1584558428,23,40.28,97.2,41.16,12.57
Geraldton,100,AU,1584558428,59,-28.77,114.6,64.4,11.41
Bolotnoye,100,RU,1584558428,94,55.67,84.4,23.04,12.26
Isangel,75,VU,1584558428,94,-19.55,169.27,75.2,17.25
Kuybyshevskiy Zaton,26,RU,1584558428,52,55.16,49.17,41.0,15.66
Kilindoni,86,TZ,1584558428,75,-7.91,39.67,82.44,6.58
Pau dos Ferros,79,BR,1584558429,62,-6.11,-38.21,85.98,4.34
Vestmannaeyjar,90,IS,1584558429,92,63.44,-20.27,30.2,23.04
Martapura,93,ID,1584558429,92,-3.42,114.85,75.36,2.42
Kuusamo,98,FI,1584558134,86,65.97,29.18,26.6,2.24
Fougamou,99,GA,1584558429,94,-1.22,10.58,77.94,3.85
Qaqortoq,75,GL,1584558250,54,60.72,-46.03,30.2,11.41
Shimoda,34,JP,1584558430,67,34.67,138.95,46.99,1.01
Honggang,11,CN,1584558430,84,46.47,124.87,23.52,7.23
Gizo Government Station,44,SB,1584558430,86,-8.1,156.84,76.98,3.76
Porirua,98,NZ,1584558159,72,-41.13,174.85,61.0,14.99
Sakakah,0,SA,1584558430,30,29.97,40.21,59.0,11.41
Porto-Novo,20,BJ,1584558431,83,6.5,2.6,84.2,13.87
Lorengau,99,PG,1584558431,74,-2.02,147.27,82.2,3.62
Urengoy,33,RU,1584558431,96,65.97,78.37,15.06,9.86
Kalevala,52,RU,1584558431,89,65.2,31.17,27.9,7.27
Chapadinha,45,BR,1584558431,78,-3.74,-43.36,86.88,2.95
Hoskote,3,IN,1584558431,53,13.07,77.8,77.0,2.24
Sfântu Gheorghe,31,RO,1584558431,57,45.87,25.78,42.01,2.19
Coyhaique,1,CL,1584558431,42,-45.58,-72.07,62.6,8.05
High Level,20,CA,1584558432,61,58.52,-117.14,17.6,3.36
Harper,66,LR,1584558432,91,4.38,-7.72,79.74,5.61
Esim,60,GH,1584558432,78,4.87,-2.24,83.28,8.3
Tromsø,75,NO,1584558148,92,69.65,18.96,33.8,4.7
Hong Kong,40,HK,1584558425,83,22.29,114.16,73.0,6.93
Havre-St-Pierre,75,CA,1584558432,63,50.23,-63.6,28.4,26.4
Bandundu Province,43,CD,1584558432,86,-3.32,17.37,78.48,3.65
Kamenka,0,RU,1584558433,42,51.32,42.77,37.99,5.97
North Platte,90,US,1584558433,62,41.12,-100.77,51.8,3.36
Pisco,40,PE,1584558433,30,-13.7,-76.22,80.01,9.17
San Rafael,0,AR,1584558378,25,-34.62,-68.33,76.26,6.67
Gao,59,ML,1584558434,6,16.64,1.64,95.04,8.1
Inverell,1,AU,1584558434,90,-29.78,151.12,50.0,2.39
Dickinson,75,US,1584558434,57,29.46,-95.05,82.99,11.41
Kasongo,100,CD,1584558434,97,-4.45,26.67,68.52,6.33
Charlottetown,20,CA,1584558434,37,46.24,-63.13,35.01,16.11
Houma,75,US,1584558434,61,29.6,-90.72,82.4,14.99
Talavera,75,PH,1584558434,73,15.62,120.93,75.2,4.7
Richards Bay,0,ZA,1584558435,78,-28.78,32.04,76.32,24.34
Hanna,100,CA,1584558435,84,51.63,-111.9,15.01,11.01
Carquefou,100,FR,1584558435,76,47.3,-1.49,61.0,2.24
Vila Franca do Campo,20,PT,1584558435,82,37.72,-25.43,62.6,12.75
Verkhnetulomskiy,75,RU,1584558436,86,68.61,31.8,30.2,1.99
Jizan,20,SA,1584558436,66,17.33,42.67,86.0,9.17
Srednekolymsk,73,RU,1584558436,90,67.45,153.68,-17.16,7.0
Dehlorān,83,IR,1584558240,76,32.69,47.27,62.04,15.1
Ahipara,0,NZ,1584558436,72,-35.17,173.17,59.76,7.45
Keningau,20,MY,1584558436,83,5.34,116.16,77.0,4.7
Jurbise,0,BE,1584558436,66,50.53,3.91,55.4,3.36
Zachepylivka,0,UA,1584558436,46,49.19,35.24,42.06,0.67
Ust'-Kulom,98,RU,1584558437,91,61.69,53.69,32.88,11.74
Lhokseumawe,79,ID,1584558143,80,5.18,97.15,71.22,4.52
Vao,7,NC,1584558437,77,-22.67,167.48,76.44,23.44
Coquimbo,20,CL,1584558437,68,-29.95,-71.34,68.0,14.99
Ustka,100,PL,1584558437,78,54.58,16.86,49.26,16.08
Westport,1,US,1584558355,31,41.14,-73.36,55.99,11.41
Anadyr,90,RU,1584558437,92,64.75,177.48,30.2,40.26
Zaoyang,94,CN,1584558438,61,32.13,112.75,59.34,3.02
Majene,81,ID,1584558438,90,-3.54,118.97,75.6,3.98
China,11,MX,1584558438,44,25.7,-99.23,87.66,17.81
Yulara,0,AU,1584558438,27,-25.24,130.99,78.8,5.82
Sokoto,61,NG,1584558438,6,13.06,5.24,88.5,6.11
Oddur,25,SO,1584558439,49,4.12,43.89,84.9,17.67
Huilong,31,CN,1584558439,75,31.81,121.66,64.0,9.15
Touros,40,BR,1584558439,62,-5.2,-35.46,87.8,12.75
Jambi City,100,ID,1584558439,96,-1.6,103.62,75.9,2.01
Meylan,57,FR,1584558439,76,45.22,5.79,57.99,3.36
Fort Nelson,75,CA,1584558300,53,58.81,-122.7,23.0,2.24
Okato,68,NZ,1584558439,71,-39.2,173.88,57.99,1.99
Kumluca,0,TR,1584558439,38,36.37,30.29,44.04,11.77
Port-Gentil,20,GA,1584558347,88,-0.72,8.78,82.4,8.05
Portobelo,40,PA,1584558440,44,9.55,-79.65,93.2,13.87
Pitimbu,40,BR,1584558440,70,-7.47,-34.81,86.0,9.17
Vanimo,98,PG,1584558440,72,-2.67,141.3,82.74,6.11
Aksarka,83,RU,1584558440,91,66.56,67.8,21.6,11.48
San Cristobal,75,VE,1584558324,69,7.77,-72.22,78.8,9.17
Tongliao,100,CN,1584558424,45,43.61,122.27,35.04,13.91
Olenegorsk,100,RU,1584558441,98,68.15,33.3,29.46,2.8
Cherskiy,62,RU,1584558441,95,68.75,161.3,-15.18,12.88
Manado,20,ID,1584558441,88,1.49,124.85,77.0,1.12
Kapit,76,MY,1584558441,99,2.02,112.93,72.84,1.01
Mangai,82,CD,1584558441,87,-4.05,19.53,75.72,2.35
Kushtagi,55,IN,1584558441,49,15.77,76.2,79.86,5.61
Bandarbeyla,17,SO,1584558442,74,9.49,50.81,80.28,6.06
Gayéri,30,BF,1584558442,13,12.65,0.49,99.0,6.76
Mumford,92,GH,1584558442,78,5.26,-0.76,83.46,7.16
Vestmanna,42,FO,1584558442,93,62.16,-7.17,37.4,6.93
Marrakesh,75,MA,1584558429,39,31.63,-8.01,64.4,10.29
Mpika,93,ZM,1584558442,95,-11.83,31.45,63.48,0.6
Lavrentiya,100,RU,1584558442,93,65.58,-171.0,24.42,7.18
Volot,100,RU,1584558443,87,57.93,30.7,46.02,15.57
Parrita,20,CR,1584558443,56,9.52,-84.32,84.2,18.34
Alugan,1,PH,1584558443,82,12.22,125.48,78.78,6.69
